y      284  283  270  s_noinst.p  p  Insumos Lote  Insumos Lote  Insumos Lote
y    036  035  037  s_noinst.p  i  Reimp. Etiquetas  Reimp. Etiquetas  Reimp. Etiquetas
y    037  036  038  s_noinst.p  c  Consulta Remitos  Consulta Remitos  Consulta Remitos
y    038  037  039  243  c  Protocolos  Protocolos  Protocolos
y      243  249  244  s_noinst.p  q  Contramarcas  Contramarcas  Contramarcas
y      244  243  245  s_noinst.p  q  Chemical Characteris  Chemical Characteristics  Chemical Characteristics
y      245  244  246  s_noinst.p  q  Relacion Char - Art  Relacion Characteristicas - Articulos  Relacion Characteristicas - Articulos
y      246  245  247  s_noinst.p  q  Colores Protocolos  Colores Protocolos  Colores Protocolos
y      247  246  248  s_noinst.p  q  Body Protocolos  Body Protocolos  Body Protocolos
y      248  247  249  s_noinst.p  q  Smell/FlavorProtocol  Smell/FlavorProtocol  Smell/FlavorProtocol
y      249  248  243  s_noinst.p  q  Tipos Protocolos  Tipos Protocolos  Tipos Protocolos
y    039  038  031  180  c  Muestras  Muestras  Muestras
y      180  184  181  s_noinst.p  n  Envases Muestras  Envases  Envases
y      181  180  182  s_noinst.p  n  Tipos Contactos  Tipos Contactos  Tipos Contactos
y      182  181  183  s_noinst.p  n  Contactos Muestras  Contactos Muestras  Contactos Muestras
y      183  182  184  s_noinst.p  n  Couriers  Couriers  Couriers
y      184  183  180  s_noinst.p  n  Prioridades  Prioridades  Prioridades
y  005  003  006  050  r  Reportes  Reportes  Reportes
y    050  059  051  082  s  Stock  Stock  Stock
y      082  085  083  s_noinst.p  n  Reporte Stock  Reporte Stock  Reporte Stock
y      083  082  084  s_noinst.p  n  Stock a Fecha  Stock a Fecha  Stock a Fecha
y      084  083  085  s_noinst.p  n  Rp. Stock Filtros  Rp. Stock Filtros  Rp. Stock Filtros
y      085  084  082  y_stock_f.p  s  Stock a Fecha N  Stock a Fecha (nuevo)  Stock a Fecha (nuevo)
y    051  050  052  087  d  Despachos  Despachos  Despachos
y      087  087  087  s_noinst.p  n  Reporte Despachos  Reporte Despachos  Reporte Despachos
y    052  051  053  090  c  Comercial  Comercial  Comercial
y      090  092  091  s_noinst.p  n  Reporte Contratos  Reporte Contratos  Reporte Contratos
y      091  090  092  s_noinst.p  n  Reporte Suzzy  Reporte Suzzy  Reporte Suzzy
y      092  091  090  s_noinst.p  e  Reportes Excell  Reportes Excell  Reportes Excell
y    053  052  054  096  c  Finanzas  Finanzas  Finanzas
y      096  097  097  s_noinst.p  p  Estado Contratos  Estado Contratos  Estado Contratos
y      097  096  096  s_noinst.p  p  Exporta PE  Exporta PE  Exporta PE
y    054  053  059  101  l  Logistica  Logistica  Logistica
y      101  102  102  s_noinst.p  n  Despachos Martin  Despachos Martin  Despachos Martin
y      102  101  101  s_noinst.p  n  Presupuesto Finanzas  Presupuesto Finanzas  Presupuesto Finanzas
y    059  054  050  s_noinst.p  n  Parte Produccion  Parte Produccion  Parte Produccion
y  006  005  007  061  C  Consultas  Consultas  Consultas
y    061  069  067  299  n  Despacho  Despacho  Despacho
y      299  299  299  s_noinst.p  n  LotesJ-Estado  LotesJ-Estado  LotesJ-Estado
y    067  061  068  220  n  Comercial  Comercial  Comercial
y      220  223  221  s_noinst.p  c  Contratos - OE  Contratos - OE  Contratos - OE
y      221  220  222  s_noinst.p  i  OE - Contratos  OE - Contratos  OE - Contratos
y      222  221  223  s_noinst.p  i  Muestras - Lotes  Muestras - Lotes  Muestras - Lotes
y      223  222  220  s_noinst.p  i  Contratos - Release  Contratos - Release  Contratos - Release
y    068  067  062  s_noinst.p  n  Consulta Stock  Consulta Stock  Consulta Stock
y    062  068  063  s_noinst.p  n  Consulta Gall/Drum  Consulta Gall/Drum  Consulta Gall/Drum
y    063  062  064  s_noinst.p  n  Lotes Jugo(Todos)  Lotes Jugo(Todos)  Lotes Jugo(Todos)
y    064  063  065  s_noinst.p  n  Lotes Aceite(Todos)  Lotes Aceite(Todos)  Lotes Aceite(Todos)
y    065  064  066  s_noinst.p  n  L.Ac.-Oe-Todos  L.Ac.-Oe-Todos  L.Ac.-Oe-Todos
y    066  065  069  s_noinst.p  n  L.Ju.-Oe-Todos  L.Ju.-Oe-Todos  L.Ju.-Oe-Todos
y    069  066  061  s_noinst.p  n  Nuevo Lotes Aceite  Nuevo Lotes Aceite  Nuevo Lotes Aceite
y  007  006  001  071  y  Ayuda  Ayuda  Ayuda
y    071  070  072  s_noinst.p  t  Teclado  Teclado  Teclado
y    072  071  070  s_noinst.p  u  Utilidades  Utilidades  Utilidades
y    070  072  071  s_noinst.p  S  Sistema  Sistema  Sistema
