43,90	1,19908	524,91
44,00	1,19961	526,34
44,10	1,20013	527,77
44,20	1,20066	529,19
44,30	1,20119	530,63
44,40	1,20172	532,06
44,50	1,20226	533,49
44,60	1,20279	534,93
44,70	1,20332	536,36
44,80	1,20385	537,80
44,90	1,20438	539,24
45,00	1,20491	540,68
45,10	1,20545	542,12
45,20	1,20598	543,56
45,30	1,20651	545,01
45,40	1,20705	546,45
45,50	1,20758	547,90
45,60	1,20812	549,35
45,70	1,20865	550,80
45,80	1,20919	552,25
45,90	1,20972	553,70
46,00	1,21026	555,15
46,10	1,21080	556,60
46,20	1,21133	558,05
46,30	1,21187	559,91
46,40	1,21241	560,97
46,50	1,21295	562,43
46,60	1,21349	563,90
46,70	1,21402	565,35
46,80	1,21456	566,81
46,90	1,21510	568,27
47,00	1,21564	569,74
47,10	1,21618	571,21
47,20	1,21673	572,68
47,30	1,21727	574,15
47,40	1,21781	575,61
47,50	1,21835	577,08
47,60	1,21889	578,55
47,70	1,21943	580,03
47,80	1,21998	581,51
47,90	1,22052	582,98
48,00	1,22106	584,45
48,10	1,22161	585,93
48,20	1,22215	587,42
48,30	1,22270	588,90
48,40	1,22344	590,36
48,50	1,22379	591,87
48,60	1,22434	593,35
48,70	1,22488	594,84
48,80	1,22543	596,32
48,90	1,22598	597,81
49,00	1,22652	599,30
49,10	1,22707	600,79
49,20	1,22762	602,28
49,30	1,22817	603,78
49,40	1,22872	605,28
49,50	1,22927	606,77
49,60	1,22982	608,27
49,70	1,23037	609,77
49,80	1,23092	611,27
49,90	1,23147	612,77
50,00	1,23202	614,27
50,10	1,23257	615,28
50,20	1,23313	617,28
50,30	1,23368	618,79
50,40	1,23434	620,30
50,50	1,23478	621,81
50,60	1,23534	623,32
50,70	1,23589	624,83
50,80	1,23645	626,35
50,90	1,23700	627,86
51,00	1,23756	629,38
51,10	1,23811	630,90
51,20	1,23867	632,41
51,30	1,23922	633,93
51,40	1,23978	635,45
51,50	1,24034	636,97
51,60	1,24089	638,49
51,70	1,24145	640,02
51,80	1,24201	641,55
51,90	1,24257	643,08
52,00	1,24313	644,61
52,10	1,24369	646,14
52,20	1,24425	647,67
52,30	1,24481	648,20
52,40	1,24537	650,73
52,50	1,24593	652,27
52,60	1,24649	653,80
52,70	1,24705	655,34
52,80	1,24761	656,88
52,90	1,24818	658,43
53,00	1,24874	659,96
53,10	1,24930	661,51
53,20	1,24987	663,05
53,30	1,25043	664,60
53,40	1,25099	666,15
53,50	1,25156	667,70
53,60	1,25212	669,25
53,70	1,25269	670,80
53,80	1,25325	672,35
53,90	1,25382	673,90
54,00	1,25439	675,46
54,10	1,25495	677,02
54,20	1,25552	678,57
54,30	1,25609	680,13
54,40	1,25666	681,69
54,50	1,25723	683,26
54,60	1,25780	684,82
54,70	1,25836	686,38
54,80	1,25893	687,94
54,90	1,25950	689,52
55,00	1,26007	691,09
55,10	1,26064	692,66
55,20	1,26122	694,23
55,30	1,26179	695,80
55,40	1,26236	697,38
55,50	1,26293	698,95
55,60	1,26350	700,53
55,70	1,26408	702,10
55,80	1,26465	703,68
55,90	1,26522	705,27
56,00	1,26580	706,85
56,10	1,26637	708,44
56,20	1,26695	710,02
56,30	1,26752	711,61
56,40	1,26810	713,19
56,50	1,26868	714,78
56,60	1,26925	716,37
56,70	1,26983	717,96
56,80	1,27041	719,55
56,90	1,27098	721,15
57,00	1,27156	722,75
57,10	1,27214	724,35
57,20	1,27272	725,95
57,30	1,27330	727,55
57,40	1,27388	729,15
57,50	1,27446	730,75
57,60	1,27504	732,35
57,70	1,27562	733,95
57,80	1,27620	735,36
57,90	1,27678	737,17
58,00	1,27736	738,78
58,10	1,27794	740,39
58,20	1,27853	742,00
58,30	1,27911	743,62
58,40	1,27969	745,23
58,50	1,28028	746,95
58,60	1,28086	748,46
58,70	1,28145	750,08
58,80	1,28203	751,70
58,90	1,28262	753,53
59,00	1,28320	754,98
59,10	1,28379	756,58
59,20	1,28437	758,21
59,30	1,28497	759,84
59,40	1,28555	761,47
59,50	1,28614	763,10
59,60	1,28672	764,73
59,70	1,28731	766,36
59,80	1,28789	767,99
59,90	1,28849	769,63
60,00	1,28908	771,27
60,10	1,28966	772,90
60,20	1,29025	774,54
60,30	1,29084	776,18
60,40	1,29143	777,82
60,50	1,29203	779,47
60,60	1,29262	781,12
60,70	1,29321	782,77
60,80	1,29380	784,41
60,90	1,29439	786,06
61,00	1,29498	787,71
61,10	1,29559	789,37
61,20	1,29618	791,02
61,30	1,29677	792,68
61,40	1,29736	794,36
61,50	1,29796	795,99
61,60	1,29855	797,65
61,70	1,29915	799,21
61,80	1,29975	800,97
61,90	1,30034	802,64
62,00	1,30093	804,31
62,10	1,30153	805,97
62,20	1,30202	807,64
62,30	1,30273	809,31
62,40	1,30334	810,99
62,50	1,30393	812,66
62,60	1,30453	814,34
62,70	1,30513	816,01
62,80	1,30573	817,69
62,90	1,30633	819,37
63,00	1,30694	821,05
63,10	1,30754	822,73
63,20	1,30815	824,42
63,30	1,30875	826,10
63,40	1,30936	827,79
63,50	1,30994	829,47
63,60	1,31055	831,16
63,70	1,31117	832,85
63,80	1,31177	834,55
63,90	1,31237	836,24
64,00	1,31297	837,93
64,10	1,31359	839,63
64,20	1,31418	841,33
64,30	1,31479	843,03
64,40	1,31540	844,73
64,50	1,31600	846,43
64,60	1,31661	848,13
